 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A  2356 15.45                                   -0.06            
 HIGH     P   0A  2356 16.01                                   -0.11            
 ORNG     P   0A  2356 16.60                                    0.17            
 SRND     P   0A  2356 16.93                                    0.03            
 KVCH     P   0A  2356 17.09                                    0.05            
 BLVR     P   0A  2356 17.42                                    0.11            
 NMVR     P   0A  2356 17.52                                   -0.01            
 VRDN     P   0A  2356 17.48                                    0.01            
 AZGN     P   0A  2356 17.66                                   -0.07            
 MGSL     P   0A  2356 18.68                                   -0.07            
 GOLJ     P   0A  2356 18.82                                   -0.01            
 KRNG     P   0A  2356 19.18                                   -0.05            
                                                                                

 2012  815  030 25.1 L  38.404  46.838  9.3      12 0.0 1.1L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815003025     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ORNG     P   0A   030 28.10                                    0.16            
 ZANG     P   0A   030 27.92                                   -0.11            
 VRDN     P   0A   030 28.37                                    0.00            
 NMVR     P   0A   030 28.60                                   -0.02            
 BLVR     P   0A   030 28.91                                    0.07            
 AZGN     P   0A   030 28.92                                   -0.07            
 HIGH     P   0A   030 28.79                                   -0.12            
 MGSL     P   0A   030 29.70                                   -0.06            
 SRND     P   0A   030 29.93                                    0.07            
 KVCH     P   0A   030 30.24                                    0.12            
 FRMZ     P   0A   030 30.76                                   -0.03            
 GOLJ     P   0A   030 32.14                                   -0.01            
                                                                                

 2012  815  112 32.7 L  38.394  46.681  4.5      14 0.0 0.0L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815011232     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A   112 34.57                                   -0.03            
 HIGH     P   0A   112 34.52                                   -0.10            
 KVCH     P   0A   112 35.50                                   -0.00            
 SRND     P   0A   112 35.46                                    0.00            
 FRMZ     P   0A   112 36.78                                    0.14            
 ORNG     P   0A   112 36.90                                    0.13            
 BLVR     P   0A   112 37.41                                    0.16            
 GOLJ     P   0A   112 37.46                                   -0.07            
 NMVR     P   0A   112 37.89                                    0.06            
 VRDN     P   0A   112 38.01                                   -0.07            
 AZGN     P   0A   112 38.18                                   -0.13            
 MGSL     P   0A   112 39.18                                    0.04            
 HRS      P   4A   112 38.65                                   -0.56            
 KRNG     P   0A   112 39.82                                   -0.12            
                                                                                

 2012  815  113 31.8 L  38.381  46.765 10.8      13 0.0 1.3L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815011331     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A   113 34.53                                   -0.05            
 HIGH     P   0A   113 34.76                                   -0.12            
 ORNG     P   0A   113 35.64                                    0.17            
 BLVR     P   0A   113 35.74                                    0.10            
 SRND     P   0A   113 35.64                                   -0.01            
 NMVR     P   0A   113 35.94                                    0.02            
 KVCH     P   0A   113 35.94                                    0.06            
 VRDN     P   0A   113 36.22                                    0.01            
 AZGN     P   0A   113 36.59                                   -0.13            
 FRMZ     P   0A   113 37.05                                    0.11            
 MGSL     P   0A   113 37.12                                   -0.00            
 KRNG     P   0A   113 37.82                                   -0.09            
 GOLJ     P   0A   113 37.87                                   -0.06            
                                                                                

 2012  815  115 32.9 L  38.421  46.725 11.3      13 0.0 1.6L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815011532     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A   115 34.54                                   -0.08            
 HIGH     P   0A   115 35.15                                   -0.09            
 ORNG     P   0A   115 35.84                                    0.18            
 SRND     P   0A   115 35.96                                    0.02            
 KVCH     P   0A   115 36.02                                    0.01            
 FRMZ     P   0A   115 36.48                                    0.12            
 BLVR     P   0A   115 36.87                                    0.15            
 VRDN     P   0A   115 36.82                                   -0.01            
 AZGN     P   0A   115 36.85                                   -0.11            
 NMVR     P   0A   115 36.99                                    0.02            
 GOLJ     P   0A   115 37.52                                   -0.08            
 MGSL     P   0A   115 38.15                                   -0.03            
 KRNG     P   0A   115 38.49                                   -0.10            
                                                                                

 2012  815  116 30.6 L  38.407  46.866 10.8      13 0.0 0.8L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815011630     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ORNG     P   0A   116 33.08                                    0.16            
 VRDN     P   0A   116 33.07                                    0.02            
 NMVR     P   0A   116 33.50                                    0.04            
 ZANG     P   0A   116 33.20                                   -0.15            
 AZGN     P   0A   116 33.64                                   -0.08            
 BLVR     P   0A   116 33.91                                    0.06            
 HIGH     P   0A   116 34.10                                   -0.14            
 MGSL     P   0A   116 34.39                                   -0.08            
 KRNG     P   0A   116 34.60                                   -0.00            
 SRND     P   0A   116 35.22                                    0.07            
 KVCH     P   0A   116 35.54                                    0.11            
 FRMZ     P   0A   116 36.03                                    0.01            
 GOLJ     P   0A   116 37.42                                   -0.01            
                                                                                

 2012  815  119  1.3 L  38.407  46.850  8.2      13 0.0 1.3L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815011901     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ORNG     P   0A   119  4.17                                    0.14            
 ZANG     P   0A   119  4.19                                   -0.12            
 VRDN     P   0A   119  4.39                                    0.01            
 NMVR     P   0A   119  4.73                                   -0.03            
 AZGN     P   0A   119  5.00                                   -0.06            
 BLVR     P   0A   119  5.17                                    0.09            
 HIGH     P   0A   119  5.15                                   -0.14            
 MGSL     P   0A   119  5.84                                   -0.06            
 KRNG     P   0A   119  6.12                                   -0.01            
 SRND     P   0A   119  6.33                                    0.07            
 KVCH     P   0A   119  6.67                                    0.13            
 FRMZ     P   0A   119  7.19                                    0.02            
 GOLJ     P   0A   119  8.57                                   -0.05            
                                                                                

 2012  815  132 21.9 L  38.414  46.793  7.9      13 0.0 1.9L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815013221     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A   132 24.08                                   -0.10            
 ORNG     P   0A   132 24.83                                    0.18            
 HIGH     P   0A   132 25.08                                   -0.10            
 VRDN     P   0A   132 25.58                                   -0.01            
 NMVR     P   0A   132 25.86                                    0.01            
 BLVR     P   0A   132 25.95                                    0.10            
 AZGN     P   0A   132 25.88                                   -0.08            
 SRND     P   0A   132 26.20                                    0.06            
 KVCH     P   0A   132 26.41                                    0.07            
 FRMZ     P   0A   132 26.94                                    0.06            
 MGSL     P   0A   132 27.05                                   -0.04            
 KRNG     P   0A   132 27.35                                   -0.07            
 GOLJ     P   0A   132 28.24                                   -0.07            
                                                                                

 2012  815  2 4 37.7 L  38.392  46.654  3.2      13 0.0 1.8L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815020437     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 HIGH     P   0A   2 4 39.43                                   -0.07            
 ZANG     P   0A   2 4 39.93                                    0.06            
 KVCH     P   0A   2 4 40.14                                   -0.00            
 SRND     P   0A   2 4 40.22                                    0.01            
 FRMZ     P   0A   2 4 41.75                                    0.11            
 GOLJ     P   0A   2 4 42.23                                   -0.08            
 ORNG     P   0A   2 4 42.43                                    0.09            
 BLVR     P   0A   2 4 42.88                                    0.16            
 NMVR     P   0A   2 4 43.34                                   -0.04            
 VRDN     P   0A   2 4 43.61                                   -0.07            
 AZGN     P   0A   2 4 43.74                                   -0.14            
 MGSL     P   0A   2 4 44.79                                    0.09            
 KRNG     P   0A   2 4 45.43                                   -0.12            
                                                                                

 2012  815  227 22.4 L  38.399  46.698  3.3      13 0.0 1.8L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815022722     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A   227 23.59                                    0.04            
 HIGH     P   0A   227 23.85                                   -0.10            
 SRND     P   0A   227 25.05                                    0.06            
 KVCH     P   0A   227 25.09                                    0.02            
 ORNG     P   0A   227 26.05                                    0.10            
 FRMZ     P   0A   227 26.27                                    0.09            
 BLVR     P   0A   227 26.70                                    0.13            
 NMVR     P   0A   227 27.05                                   -0.03            
 GOLJ     P   0A   227 27.11                                   -0.10            
 VRDN     P   0A   227 27.23                                   -0.03            
 AZGN     P   0A   227 27.40                                   -0.11            
 MGSL     P   0A   227 28.45                                    0.03            
 KRNG     P   0A   227 29.05                                   -0.10            
                                                                                

 2012  815  239 11.7 L  38.404  46.838  9.2      14 0.0 2.0L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815023911     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ORNG     P   0A   239 14.67                                    0.16            
 ZANG     P   0A   239 14.48                                   -0.12            
 VRDN     P   0A   239 14.95                                    0.02            
 NMVR     P   0A   239 15.18                                   -0.01            
 BLVR     P   0A   239 15.49                                    0.08            
 HIGH     P   0A   239 15.36                                   -0.13            
 AZGN     P   0A   239 15.48                                   -0.08            
 HRS      P   4A   239 15.56                                   -0.60            
 MGSL     P   0A   239 16.28                                   -0.05            
 SRND     P   0A   239 16.49                                    0.05            
 KRNG     P   0A   239 16.64                                   -0.01            
 KVCH     P   0A   239 16.81                                    0.10            
 FRMZ     P   0A   239 17.39                                    0.01            
 GOLJ     P   0A   239 18.74                                   -0.01            
                                                                                

 2012  815  253 43.3 L  38.412  46.765  9.2      12 0.0 1.5L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815025343     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A   253 45.57                                   -0.10            
 ORNG     P   0A   253 46.66                                    0.17            
 HIGH     P   0A   253 46.35                                   -0.11            
 SRND     P   0A   253 47.37                                    0.03            
 BLVR     P   0A   253 47.67                                    0.17            
 VRDN     P   0A   253 47.47                                   -0.05            
 KVCH     P   0A   253 47.55                                    0.04            
 NMVR     P   0A   253 47.62                                   -0.03            
 AZGN     P   0A   253 47.72                                   -0.10            
 FRMZ     P   0A   253 48.18                                    0.10            
 MGSL     P   0A   253 48.85                                   -0.05            
 GOLJ     P   0A   253 49.33                                   -0.07            
                                                                                

 2012  815  344 30.4 L  38.401  46.688 11.7      12 0.0 0.0L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815034430     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 HIGH     P   0A   344 33.26                                   -0.10            
 ZANG     P   0A   344 33.25                                    0.02            
 SRND     P   0A   344 33.89                                    0.01            
 KVCH     P   0A   344 33.94                                    0.01            
 FRMZ     P   0A   344 34.80                                    0.15            
 BLVR     P   0A   344 35.32                                    0.14            
 GOLJ     P   0A   344 35.42                                   -0.10            
 NMVR     P   0A   344 35.63                                   -0.00            
 VRDN     P   0A   344 35.78                                    0.00            
 AZGN     P   0A   344 35.91                                   -0.06            
 MGSL     P   0A   344 36.86                                    0.00            
 KRNG     P   0A   344 37.47                                   -0.06            
                                                                                

 2012  815  613 54.4 L  38.413  46.779  8.5      13 0.0 1.9L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815061354     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A   613 56.60                                   -0.08            
 ORNG     P   0A   613 57.54                                    0.20            
 HIGH     P   0A   613 57.49                                   -0.10            
 VRDN     P   0A   613 58.31                                   -0.02            
 BLVR     P   0A   613 58.58                                    0.13            
 SRND     P   0A   613 58.55                                    0.04            
 NMVR     P   0A   613 58.50                                   -0.02            
 AZGN     P   0A   613 58.56                                   -0.11            
 KVCH     P   0A   613 58.74                                    0.04            
 FRMZ     P   0A   613 59.34                                    0.08            
 MGSL     P   0A   613 59.74                                   -0.03            
 KRNG     P   0A   614  0.11                                   -0.05            
 GOLJ     P   0A   614  0.56                                   -0.07            
                                                                                

 2012  815  625 10.5 L  38.408  46.776 10.0      13 0.0 2.6L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815062510     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A   625 12.95                                   -0.06            
 ORNG     P   0A   625 13.85                                    0.17            
 HIGH     P   0A   625 13.63                                   -0.12            
 VRDN     P   0A   625 14.57                                   -0.01            
 BLVR     P   0A   625 14.71                                    0.13            
 SRND     P   0A   625 14.64                                    0.03            
 NMVR     P   0A   625 14.68                                   -0.01            
 KVCH     P   0A   625 14.84                                    0.04            
 AZGN     P   0A   625 14.82                                   -0.12            
 FRMZ     P   0A   625 15.52                                    0.09            
 MGSL     P   0A   625 15.86                                   -0.04            
 KRNG     P   0A   625 16.30                                   -0.04            
 GOLJ     P   0A   625 16.65                                   -0.05            
                                                                                

 2012  815  712 14.7 L  38.392  46.639  4.4      12 0.0 2.5L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815071214     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 KVCH     P   0A   712 16.33                                   -0.05            
 SRND     P   0A   712 16.52                                    0.02            
 ZANG     P   0A   712 16.36                                   -0.09            
 FRMZ     P   0A   712 17.78                                    0.11            
 GOLJ     P   0A   712 18.20                                   -0.05            
 ORNG     P   0A   712 18.79                                    0.12            
 BLVR     P   4A   712 19.30                                    0.26            
 NMVR     P   0A   712 19.81                                    0.10            
 VRDN     P   0A   712 19.97                                   -0.05            
 AZGN     P   0A   712 20.09                                   -0.10            
 MGSL     P   0A   712 21.11                                    0.08            
 KRNG     P   0A   712 21.81                                   -0.08            
                                                                                

 2012  815  9 3 23.6 L  38.395  46.798  9.2      12 0.0 1.6L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815090323     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ORNG     P   0A   9 3 26.84                                    0.13            
 HIGH     P   0A   9 3 26.67                                   -0.20            
 BLVR     P   0A   9 3 27.44                                    0.14            
 NMVR     P   0A   9 3 27.36                                    0.00            
 VRDN     P   0A   9 3 27.38                                   -0.01            
 SRND     P   0A   9 3 27.79                                    0.01            
 KVCH     P   0A   9 3 28.09                                    0.06            
 AZGN     P   0A   9 3 27.83                                   -0.11            
 MGSL     P   0A   9 3 28.54                                   -0.04            
 FRMZ     P   0A   9 3 28.96                                    0.08            
 KRNG     P   0A   9 3 29.12                                   -0.04            
 GOLJ     P   0A   9 3 30.09                                   -0.01            
                                                                                

 2012  815  925 49.8 L  38.404  46.797  9.5      15 0.0 2.2L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120815092549     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A   925 51.66                                    0.01            
 ORNG     P   0A   925 52.21                                    0.12            
 HIGH     P   0A   925 52.25                                   -0.18            
 VRDN     P   0A   925 52.83                                   -0.01            
 BLVR     P   0A   925 53.04                                    0.10            
 NMVR     P   0A   925 52.92                                   -0.04            
 AZGN     P   0A   925 53.20                                   -0.11            
 SRND     P   0A   925 53.35                                    0.01            
 KVCH     P   0A   925 53.60                                    0.04            
 MGSL     P   0A   925 54.16                                    0.00            
 HMLO     P   4A   926 44.90                                   -9.33            
